Korean,English
안녕하세요,Hell
주세요,Please
죄송합니다,Sorry
고맙습니다,Thank you
네,Yes
아니요,No
아마도,Maybe
도와 주세요,Help
저기요,Excuse me
물,Water
밥,Rice
야채,Vegetables
과일,Fruit
고기,Meat
빵,Bread
생선,Fish
커피,Coffee
맥주,Beer
소주,Soju
친구,Friend
가족,Family
아빠,Dad
엄마,Mom
남자 친구,Boyfriend
여자 친구,Girlfriend
결혼,Marriage
남편,Husband
아내,Wife
학생,Student
선생,Teacher
교수,Professor
직원,Employee
관리자,Manager
집,House
화장실,Bathroom
나라,Country
직업,Job
사람,Person
왼쪽,Left
오른쪽,Right
시간,time
지금,now
오늘,today
어제,yesterday
내일,tomorrow
가다,to go
오다,to come
있다,to have
이다,to be
먹다,to eat
마시다,to drink
주다,to give
자다,to sleep
일어나다,to wake up
사다,to buy
쓰다,to write or to use
웃다,to laugh
울다,to cry
걷다,to walk
읽다,to read
좋다,to be good
싫다,to be bad
덥다,to be hot
춥다,to be cold
슬프다,to be sad
아프다,to be sick or in pain
피곤하다,to be tired
재미있다,to be interesting
재미없다,to be boring
어렵다,to be difficult
쉽다,to be easy
깨끗하다,to be clean
더럽다,to be dirty
빠르다,to be fast
느리다,to be slow
매우,very
아주,very
꽤,quite
상당히,quite
거의,almost
빨리,fast
천천히,slowly
항상,always
자주,frequently
가끔,to be interesting
천만에요,You’re welcome
잠시만요,Excuse me
괜찮아요 ,Okay
몰라요,I don’t know
알아요,I know
이해해요,I understand
하늘,sky
비,rain
고양이,cat
강아지,puppy
바람,wind
마음,mind/heart
나라,nation
바다,ocean
누리,world
